Source,Target,Type,ID,Label,Weighted
113,123,Undirected,25211,,0.995408535
123,113,Undirected,27441,,0.995408535
39,86,Undirected,8598,,0.991108107
86,39,Undirected,19079,,0.991108107
99,106,Undirected,22058,,0.990191133
106,99,Undirected,23619,,0.990191133
77,99,Undirected,17123,,0.989914843
99,77,Undirected,22029,,0.989914843
21,223,Undirected,4703,,0.988697044
223,21,Undirected,49749,,0.988697044
36,213,Undirected,8053,,0.988678634
213,36,Undirected,47524,,0.988678634
82,161,Undirected,18305,,0.988494276
161,82,Undirected,35922,,0.988494276
68,82,Undirected,15090,,0.988443083
82,68,Undirected,18212,,0.988443083
78,108,Undirected,17356,,0.988025842
108,78,Undirected,24046,,0.988025842
5,109,Undirected,1005,,0.987905947
109,5,Undirected,24197,,0.987905947
172,186,Undirected,38490,,0.985488196
186,172,Undirected,41612,,0.985488196
67,90,Undirected,14874,,0.984498273
90,67,Undirected,20003,,0.984498273
36,85,Undirected,7925,,0.984422117
85,36,Undirected,18852,,0.984422117
43,55,Undirected,9463,,0.984037488
55,43,Undirected,12139,,0.984037488
77,106,Undirected,17130,,0.983949578
106,77,Undirected,23597,,0.983949578
89,93,Undirected,19805,,0.983943317
93,89,Undirected,20697,,0.983943317
47,196,Undirected,10500,,0.982204902
196,47,Undirected,43727,,0.982204902
202,206,Undirected,45230,,0.982125857
206,202,Undirected,46122,,0.982125857
5,74,Undirected,970,,0.982084668
74,5,Undirected,16357,,0.982084668
13,77,Undirected,2765,,0.981733544
77,13,Undirected,17037,,0.981733544
40,171,Undirected,8907,,0.981197424
171,40,Undirected,38120,,0.981197424
46,51,Undirected,10131,,0.980013186
51,46,Undirected,11246,,0.980013186